customer_ID,gender,tenure,internet_service,contract,payment_method,monthly_charges,total_charges,churn,tenure_group,charge_group
7590-VHVEG,2,1,DSL,Month-to-month,Electronic check,30,30,0,0-1 Year,Low
5575-GNVDE,1,34,DSL,One year,Mailed check,57,1890,0,2-4 Years,Medium
3668-QPYBK,1,2,DSL,Month-to-month,Mailed check,54,108,1,0-1 Year,Medium
7795-CFOCW,1,45,DSL,One year,Bank transfer (automatic),42,1841,0,2-4 Years,Low
9237-HQITU,2,2,Fiber optic,Month-to-month,Electronic check,71,152,1,0-1 Year,Medium
9305-CDSKC,2,8,Fiber optic,Month-to-month,Electronic check,100,821,1,0-1 Year,Medium
1452-KIOVK,1,22,Fiber optic,Month-to-month,Credit card (automatic),89,1949,0,1-2 Years,Medium
6713-OKOMC,2,10,DSL,Month-to-month,Mailed check,30,302,0,0-1 Year,Low
7892-POOKP,2,28,Fiber optic,Month-to-month,Electronic check,105,3046,1,2-4 Years,High
6388-TABGU,1,62,DSL,One year,Bank transfer (automatic),56,3488,0,4-6 Years,Medium
9763-GRSKD,1,13,DSL,Month-to-month,Mailed check,50,587,0,1-2 Years,Low
7469-LKBCI,1,16,No,Two year,Credit card (automatic),19,327,0,1-2 Years,Low
8091-TTVAX,1,58,Fiber optic,One year,Credit card (automatic),100,5681,0,4-6 Years,Medium
0280-XJGEX,1,49,Fiber optic,Month-to-month,Bank transfer (automatic),104,5036,1,4-6 Years,High
5129-JLPIS,1,25,Fiber optic,Month-to-month,Electronic check,106,2686,0,2-4 Years,High
3655-SNQYZ,2,69,Fiber optic,Two year,Credit card (automatic),113,7895,0,4-6 Years,High
8191-XWSZG,2,52,No,One year,Mailed check,21,1023,0,4-6 Years,Low
9959-WOFKT,1,71,Fiber optic,Two year,Bank transfer (automatic),107,7382,0,4-6 Years,High
4190-MFLUW,2,10,DSL,Month-to-month,Credit card (automatic),55,528,1,0-1 Year,Medium
4183-MYFRB,2,21,Fiber optic,Month-to-month,Electronic check,90,1863,0,1-2 Years,Medium
8779-QRDMV,1,1,DSL,Month-to-month,Electronic check,40,40,1,0-1 Year,Low
1680-VDCWW,1,12,No,One year,Bank transfer (automatic),20,202,0,0-1 Year,Low
1066-JKSGK,1,1,No,Month-to-month,Mailed check,20,20,1,0-1 Year,Low
3638-WEABW,2,58,DSL,Two year,Credit card (automatic),60,3505,0,4-6 Years,Medium
6322-HRPFA,1,49,DSL,Month-to-month,Credit card (automatic),60,2970,0,4-6 Years,Medium
6865-JZNKO,2,30,DSL,Month-to-month,Bank transfer (automatic),55,1531,0,2-4 Years,Medium
6467-CHFZW,1,47,Fiber optic,Month-to-month,Electronic check,99,4749,1,2-4 Years,Medium
8665-UTDHZ,1,1,DSL,Month-to-month,Electronic check,30,30,1,0-1 Year,Low
5248-YGIJN,1,72,DSL,Two year,Credit card (automatic),90,6369,0,4-6 Years,Medium
8773-HHUOZ,2,17,DSL,Month-to-month,Mailed check,65,1093,1,1-2 Years,Medium
3841-NFECX,2,71,Fiber optic,Two year,Credit card (automatic),96,6767,0,4-6 Years,Medium
4929-XIHVW,1,2,Fiber optic,Month-to-month,Credit card (automatic),96,182,0,0-1 Year,Medium
6827-IEAUQ,2,27,DSL,One year,Mailed check,66,1874,0,2-4 Years,Medium
7310-EGVHZ,1,1,No,Month-to-month,Bank transfer (automatic),20,20,0,0-1 Year,Low
3413-BMNZE,1,1,DSL,Month-to-month,Bank transfer (automatic),45,45,0,0-1 Year,Low
6234-RAAPL,2,72,Fiber optic,Two year,Bank transfer (automatic),100,7252,0,4-6 Years,Medium
6047-YHPVI,1,5,Fiber optic,Month-to-month,Electronic check,70,317,1,0-1 Year,Medium
6572-ADKRS,2,46,Fiber optic,Month-to-month,Credit card (automatic),75,3548,0,2-4 Years,Medium
5380-WJKOV,1,34,Fiber optic,Month-to-month,Electronic check,106,3549,1,2-4 Years,High
8168-UQWWF,2,11,Fiber optic,Month-to-month,Bank transfer (automatic),98,1105,1,0-1 Year,Medium
8865-TNMNX,1,10,DSL,One year,Mailed check,50,476,0,0-1 Year,Low
9489-DEDVP,2,70,DSL,Two year,Credit card (automatic),69,4872,0,4-6 Years,Medium
9867-JCZSP,2,17,No,One year,Mailed check,21,418,0,1-2 Years,Low
4671-VJLCL,2,63,DSL,Two year,Credit card (automatic),80,4861,0,4-6 Years,Medium
4080-IIARD,2,13,DSL,Month-to-month,Electronic check,76,981,0,1-2 Years,Medium
3714-NTNFO,2,49,Fiber optic,Month-to-month,Electronic check,85,3907,0,4-6 Years,Medium
5948-UJZLF,1,2,DSL,Month-to-month,Mailed check,49,97,0,0-1 Year,Low
7760-OYPDY,2,2,Fiber optic,Month-to-month,Electronic check,81,144,1,0-1 Year,Medium
7639-LIAYI,1,52,DSL,Two year,Credit card (automatic),80,4218,0,4-6 Years,Medium
2954-PIBKO,2,69,DSL,Two year,Credit card (automatic),64,4254,0,4-6 Years,Medium
8012-SOUDQ,2,43,Fiber optic,Month-to-month,Electronic check,90,3839,0,2-4 Years,Medium
9420-LOJKX,2,15,Fiber optic,Month-to-month,Credit card (automatic),99,1426,1,1-2 Years,Medium
6575-SUVOI,2,25,DSL,Month-to-month,Credit card (automatic),70,1753,0,2-4 Years,Medium
7495-OOKFY,2,8,Fiber optic,Month-to-month,Credit card (automatic),81,633,1,0-1 Year,Medium
4667-QONEA,2,60,DSL,One year,Credit card (automatic),75,4456,0,4-6 Years,Medium
1658-BYGOY,1,18,Fiber optic,Month-to-month,Electronic check,95,1753,1,1-2 Years,Medium
8769-KKTPH,2,63,Fiber optic,One year,Credit card (automatic),100,6311,0,4-6 Years,Medium
5067-XJQFU,1,66,Fiber optic,One year,Electronic check,108,7076,0,4-6 Years,High
3957-SQXML,2,34,No,Two year,Credit card (automatic),25,894,0,2-4 Years,Low
