customer_ID,gender,tenure,internet_service,contract,payment_method,monthly_charges,total_charges,churn
7590-VHVEG,Female,1,DSL,Month-to-month,Electronic check,30,30,0
5575-GNVDE,Male,34,DSL,One year,Mailed check,57,1890,0
3668-QPYBK,Male,2,DSL,Month-to-month,Mailed check,54,108,1
7795-CFOCW,Male,45,DSL,One year,Bank transfer (automatic),42,1841,0
9237-HQITU,Female,2,Fiber optic,Month-to-month,Electronic check,71,152,1
9305-CDSKC,Female,8,Fiber optic,Month-to-month,Electronic check,100,821,1
1452-KIOVK,Male,22,Fiber optic,Month-to-month,Credit card (automatic),89,1949,0
6713-OKOMC,Female,10,DSL,Month-to-month,Mailed check,30,302,0
7892-POOKP,Female,28,Fiber optic,Month-to-month,Electronic check,105,3046,1
6388-TABGU,Male,62,DSL,One year,Bank transfer (automatic),56,3488,0
9763-GRSKD,Male,13,DSL,Month-to-month,Mailed check,50,587,0
7469-LKBCI,Male,16,No,Two year,Credit card (automatic),19,327,0
8091-TTVAX,Male,58,Fiber optic,One year,Credit card (automatic),100,5681,0
0280-XJGEX,Male,49,Fiber optic,Month-to-month,Bank transfer (automatic),104,5036,1
5129-JLPIS,Male,25,Fiber optic,Month-to-month,Electronic check,106,2686,0
3655-SNQYZ,Female,69,Fiber optic,Two year,Credit card (automatic),113,7895,0
8191-XWSZG,Female,52,No,One year,Mailed check,21,1023,0
9959-WOFKT,Male,71,Fiber optic,Two year,Bank transfer (automatic),107,7382,0
4190-MFLUW,Female,10,DSL,Month-to-month,Credit card (automatic),55,528,1
4183-MYFRB,Female,21,Fiber optic,Month-to-month,Electronic check,90,1863,0
8779-QRDMV,Male,1,DSL,Month-to-month,Electronic check,40,40,1
1680-VDCWW,Male,12,No,One year,Bank transfer (automatic),20,202,0
1066-JKSGK,Male,1,No,Month-to-month,Mailed check,20,20,1
3638-WEABW,Female,58,DSL,Two year,Credit card (automatic),60,3505,0
6322-HRPFA,Male,49,DSL,Month-to-month,Credit card (automatic),60,2970,0
6865-JZNKO,Female,30,DSL,Month-to-month,Bank transfer (automatic),55,1531,0
6467-CHFZW,Male,47,Fiber optic,Month-to-month,Electronic check,99,4749,1
8665-UTDHZ,Male,1,DSL,Month-to-month,Electronic check,30,30,1
5248-YGIJN,Male,72,DSL,Two year,Credit card (automatic),90,6369,0
8773-HHUOZ,Female,17,DSL,Month-to-month,Mailed check,65,1093,1
3841-NFECX,Female,71,Fiber optic,Two year,Credit card (automatic),96,6767,0
4929-XIHVW,Male,2,Fiber optic,Month-to-month,Credit card (automatic),96,182,0
6827-IEAUQ,Female,27,DSL,One year,Mailed check,66,1874,0
7310-EGVHZ,Male,1,No,Month-to-month,Bank transfer (automatic),20,20,0
3413-BMNZE,Male,1,DSL,Month-to-month,Bank transfer (automatic),45,45,0
6234-RAAPL,Female,72,Fiber optic,Two year,Bank transfer (automatic),100,7252,0
6047-YHPVI,Male,5,Fiber optic,Month-to-month,Electronic check,70,317,1
6572-ADKRS,Female,46,Fiber optic,Month-to-month,Credit card (automatic),75,3548,0
5380-WJKOV,Male,34,Fiber optic,Month-to-month,Electronic check,106,3549,1
8168-UQWWF,Female,11,Fiber optic,Month-to-month,Bank transfer (automatic),98,1105,1
8865-TNMNX,Male,10,DSL,One year,Mailed check,50,476,0
9489-DEDVP,Female,70,DSL,Two year,Credit card (automatic),69,4872,0
9867-JCZSP,Female,17,No,One year,Mailed check,21,418,0
4671-VJLCL,Female,63,DSL,Two year,Credit card (automatic),80,4861,0
